YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2023,2023-02,23NMAIM400066263,1,1,Removed,24:37.0,IM4,IM404,29220.0,3341271.19,USD,3341271.19,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,534604,0,334128,534604,0,0,0,0,0,0,0,0
2023,2023-03,23EMKIM400239901,1,1,Removed,43:47.0,IM4,IM491,85484.0,6757089.63,USD,7924380.68,48,48041100,KRAFTLINER; 1; 84;,PT,Portugal,KE,Kenya,EMK,ICD,1524562,0,792439,1267901,0,0,118866,118866,0,0,18929,0
2023,2023-03,23MBAEX301582522,1,1,Settled,10:00.0,EX3,EX312,44.0,72773.0,KES,72773.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 11; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-04,23THKIM400028927,1,1,Settled,54:30.0,IM4,IM410,22992.0,4750695.92,KES,4750695.92,48,48043900,AXELLO SWAN WHITE BLEACHED KRAFT; ,FI,Finland,KE,Kenya,THK,TKA,1453715,0,475070,836123,0,0,71261,71261,0,0,0,0
2023,2023-03,23MBAEX301468711,1,1,Settled,02:56.0,EX3,EX312,39.0,72770.0,KES,72770.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-03,23MBAIM401305403,1,1,Settled,29:31.0,IM4,IM400,70793.0,11862782.79,EUR,13072996.81,48,48043900,AXELLO SWAN WHITE BLEACHED KRAFT PAPER SUBS 85 GSM; 1; ,FI,Finland,KE,Kenya,MBA,CNT,4016152,0,1307300,2300848,0,0,196095,196095,0,0,15814,0
2023,2023-04,23NMAIM400183522,1,1,Removed,03:31.0,IM4,IM404,29820.0,3600428.04,USD,3600428.04,48,48043900,MG KRAFT PAPER-80 GSM; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,576069,0,360043,576069,0,0,0,0,0,0,0,0
2023,2023-04,23MBAEX302306594,1,1,Settled,52:32.0,EX3,EX312,196.0,93295.46,USD,93295.46,48,48194000,PAPER SACKS; 0; 24; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,33,33,0,0,0,0,0,0,0,0,33,0
2023,2023-04,23MBAEX302320706,1,1,Settled,57:54.0,EX3,EX312,190.0,92133.3,USD,92133.3,48,48194000,PAPER SACKS; 0; 20; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,33,33,0,0,0,0,0,0,0,0,33,0
2023,2023-04,23NMAIM400199030,1,1,Removed,17:32.0,IM4,IM404,29063.0,3125915.24,USD,3125915.24,48,48041100,KRAFT LINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,500147,0,312592,500147,0,0,0,0,0,0,0,0
2023,2023-05,23EMKIM400569640,1,4,Settled,08:47.0,IM4,IM400,2.72,13650491.12,USD,14120593.49,48,48191000,N; GIFT BOX - (FOC); 35; 1; 1;,CN,China,KE,Kenya,EMK,ICD,1858,3028,1047,646,0,0,105,60,0,0,0,0
2023,2023-04,23MBAEX302367046,1,1,Settled,53:02.0,EX3,EX312,232.0,58716.38,USD,58716.38,48,48194000,PAPER SACKS; 0; 18; ,LK,Sri Lanka,KZ,Kazakstan,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
2023,2023-05,23MBAEX302636115,1,1,Settled,52:41.0,EX3,EX312,267.0,83006.62,USD,83006.62,48,48194000,PAPER SACKS; 25; 23; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,28,28,0,0,0,0,0,0,0,0,28,0
2023,2023-05,23MBAEX302953340,1,1,Settled,16:45.0,EX3,EX312,217.0,65450.0,KES,65450.0,48,48194000,CARBON FOOT PRINT PAPER SACKS- VALVE TYPE - 2Plies 80GSM/1Inner ply 97GSM; 50; 8; ,LK,Sri Lanka,RU,Russian Federation,MBA,MEX,23,23,0,0,0,0,0,0,0,0,23,0
2023,2023-06,23NMAIM400284860,1,1,Removed,43:25.0,IM4,IM404,28589.0,3622527.31,USD,3622527.31,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,579605,0,362253,579605,0,0,0,0,0,0,0,0
2023,2023-05,23NMAIM400274566,1,1,Removed,23:45.0,IM4,IM404,28842.0,4900779.52,USD,4900779.52,48,48042100,SACK KRAFT PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,784125,0,490078,784125,0,0,0,0,0,0,0,0
2023,2023-06,23NMAIM400290158,1,1,Removed,43:04.0,IM4,IM404,28754.0,3643436.27,USD,3643436.27,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,582950,0,364344,582950,0,0,0,0,0,0,0,0
2023,2023-05,23EMKIM400595014,1,1,Settled,00:52.0,IM4,IM400,34975.0,6466883.57,EUR,7288892.48,48,48043900,BLEACHED WHITE KRAFT PAPER 73 GSM IN BIG ROLLS OF SIZE 330 AND 425MM WIDTH; 0;,FI,Finland,KE,Kenya,EMK,ICD,2421095,0,728890,1282846,0,0,255112,145778,0,0,8469,0
2023,2023-06,23NMAIM400307503,1,1,Removed,06:19.0,IM4,IM404,29484.0,3280881.68,USD,3280881.68,48,48041100,KRAFTLINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,524942,0,328089,524942,0,0,0,0,0,0,0,0
2023,2023-06,23NMAIM400297473,1,1,Removed,41:54.0,IM4,IM404,29144.0,3709215.13,USD,3709215.13,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,593475,0,370922,593475,0,0,0,0,0,0,0,0
2023,2023-06,23MBAEX303375161,1,1,Settled,47:22.0,EX3,EX312,242.0,79078.0,KES,79078.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
2023,2023-06,23EMKIM400697223,1,4,Removed,12:07.0,IM4,IM490,2834.36,3422888.58,INR,3642278.13,48,48191000,H; ELYMOX 250MG 100 CAPS CTN; 1600; 110; 1; 683833.6; ,IN,India,KE,Kenya,EMK,ICD,0,1716,438766,200579,0,0,43877,25073,0,0,0,0
2023,2023-06,23EMKIM400669445,1,6,Settled,37:54.0,IM4,IM400,1.0,713177.34,EUR,758656.01,48,48191000,N; DUO BOXES ANTHILA (FOC); 30; 1; 1;,IT,Italy,KE,Kenya,EMK,ICD,2996,15180,1688,1042,0,0,169,97,0,0,0,0
2023,2023-06,23MBAIM403569109,1,1,Settled,29:30.0,IM4,IM400,3998720.0,307277097.2,USD,335908123.3,72,72071100,NON ALLOY STEEL BILLETS GRADE 3SP (MN MIN 0.60%) SIZE 130X130X12000MM - 2500 PCS; 3998720; 0;,AE,United Arab Emirates,KE,Kenya,MBA,MCD,64102396,0,0,53745300,0,0,5038622,5038622,0,0,279852,0
2023,2023-06,23MBAEX303687375,1,1,Settled,05:22.0,EX3,EX312,240.0,78462.0,KES,78462.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,26,26,0,0,0,0,0,0,0,0,26,0
2023,2023-01,22MBAEX305813656,1,1,Settled,30:42.0,EX3,EX312,247.0,71801.07,USD,71801.07,48,48194000,PAPER SACKS; 0; 510;,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-01,22MBAEX305776807,1,1,Settled,51:16.0,EX3,EX312,247.0,71801.07,USD,71801.07,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-01,22MBAEX305776815,1,1,Settled,56:02.0,EX3,EX312,247.0,71801.07,USD,71801.07,48,48194000,PAPER SACKS; 0; 510; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-01,23EMKIM400004380,1,4,Settled,07:52.0,IM4,IM400,3641.0,11153827.73,USD,12086614.89,48,48115990,KWAL ORCHID VALLEY DELIGHT TROPICAL 1LS PLH; 1;,CN,China,KE,Kenya,EMK,ICD,401028,8054,121156,213235,0,0,42405,24232,0,0,0,0
2023,2023-01,23MBAIM400148000,1,3,Settled,46:52.0,IM4,IM400,2836.66,3721035.63,USD,4228147.58,48,48191000,PACKING BOX; PACKING BOX; 785; 206; 1; ,CN,China,KE,Kenya,MBA,CNT,337974,147987,190484,117556,0,0,19049,10885,0,0,0,0
2023,2023-02,23NMAIM400061260,1,1,Removed,58:26.0,IM4,IM404,28876.0,3301934.48,USD,3301934.48,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,528310,5238,330194,528310,0,0,0,0,0,0,0,0
2023,2023-02,23MBAIM701090099,1,1,Settled,52:14.0,IM7,IM751,53773.0,28335947.43,USD,34003136.91,48,48191000,N; CK CORRUGATE BOX - SPECIAL EMPTY CARTONS; 1649; 364; 1; ,LK,Sri Lanka,KE,Kenya,MBA,CNT,12351,12351,11901098,7344678,0,0,0,0,0,0,12351,0
2023,2023-03,23MBAIM401019574,1,1,Settled,42:35.0,IM4,IM400,3949.51,1084356.89,USD,1238130.46,48,48191000,N; CORRUGATED EMPTY CARTONS PALLET COVER; 9800; 20; 1; ,EG,Egypt,KE,Kenya,MBA,FOC,199920,0,323317,147802,0,0,32332,18476,0,0,1310,0
2023,2023-03,23NMAIM400124898,1,1,Removed,29:36.0,IM4,IM404,29300.0,3479055.74,USD,3479055.74,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,556649,0,347906,556649,0,0,0,0,0,0,0,0
2023,2023-04,23MBAIM402103939,1,1,Settled,36:36.0,IM4,IM400,2277200.0,198402134.9,USD,210979778.7,72,72071100,"NON ALLOY STEEL BILLETS,GRADE:SAE 1008,SIZE:130.0MMX130.0MMX12.0M; 2277200; 1;",OM,Oman,KE,Kenya,MBA,RGL,40239248,0,0,33756765,0,0,3164697,3164697,0,0,153089,0
2023,2023-03,23MBAEX301429099,1,1,Settled,58:51.0,EX3,EX312,39.0,73075.0,KES,73075.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,24,24,0,0,0,0,0,0,0,0,24,0
2023,2023-03,23MBAIM401166950,1,1,Settled,51:34.0,IM4,IM400,51010.0,8600367.86,EUR,9388216.43,48,48043900,"BLEACHED KRAFT PAPER,""STARKRAFT FORMFILL""; 1; ",AT,Austria,KE,Kenya,MBA,CNT,2884092,0,938822,1652327,0,0,140824,140824,0,0,11295,0
