YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2023,2023-11,23MBAEX307030878,1,1,Settled,31:33.0,EX3,EX312,240.0,88593.0,KES,88593.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,28,28,0,0,0,0,0,0,0,0,28,0
2023,2023-11,23MBAEX307031947,1,1,Settled,59:52.0,EX3,EX312,240.0,88593.0,KES,88593.0,48,48194000,CARBON FOOT PRINT PAPER SACKS VALVE TYPE 2PLIES 80GSM/1INNER PLY 97GSM; 50; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,28,28,0,0,0,0,0,0,0,0,28,0
2023,2023-11,23THKIM400107865,1,1,Removed,56:26.0,IM4,IM410,22346.0,4744160.0,KES,4744160.0,48,48043900,PRIME WHITE X (WHITE KRAFT PAPER) BLEACHED PRIME WHITE PAPER 73G/M2 SIZE 1000MM; ,FI,Finland,KE,Kenya,THK,TKA,2874962,0,1660456,1024739,0,0,118604,71163,0,0,0,0
2023,2023-07,23NBOIMC07480756,1,3,Settled,10:25.0,IMC,IM960,0.3,2812.47,USD,2854.66,48,48191000,BOX; CORRUGATED BOX; 1; 1; ,US,United States,KE,Kenya,NBO,KAH,713,241,250,193,241,0,18,11,0,0,0,0
2023,2023-07,23MBAEX303707983,1,1,Settled,16:32.0,EX3,EX312,215.0,72557.0,KES,72557.0,48,48194000,CARBON FOOT PRINT PAPER SACKS- VALVE TYPE - 2Plies 80GSM/1Inner ply 97GSM; 50; 8; ,LK,Sri Lanka,RU,Russian Federation,MBA,MEX,23,23,0,0,0,0,0,0,0,0,23,0
2023,2023-07,23EMKIM400712946,1,1,Settled,12:08.0,IM4,IM400,23870.0,4496215.57,EUR,5009208.99,48,48043900,AXELLO SWAN (WHITE KRAFT PAPER); 1;,FI,Finland,KE,Kenya,EMK,ICD,3041459,0,1753224,1081990,0,0,125231,75139,0,0,5875,0
2023,2023-07,23NMAIM400401004,1,1,Removed,21:04.0,IM4,IM404,29358.0,3804872.35,USD,3804872.35,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,608780,0,1331706,608780,0,0,0,0,0,0,0,0
2023,2023-07,23NMAIM400388747,1,1,Removed,47:46.0,IM4,IM404,29622.0,3341078.27,USD,3341078.27,48,48041100,KRAFTLINER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,534573,0,1169378,534573,0,0,0,0,0,0,0,0
2023,2023-08,23MBAIM404513265,1,1,Settled,15:03.0,IM4,IM400,70792.0,13203817.06,EUR,14451640.75,48,48043900,AXELLO SWAN (WHITE KRAFT PAPER) 80/70G/M; 1; ,FI,Finland,KE,Kenya,MBA,CCF,8775398,361292,5058075,3121555,0,0,361292,216775,0,0,17701,0
2023,2023-08,23NMAIM400422774,1,1,Removed,18:15.0,IM4,IM404,31883.0,4161294.99,USD,4161294.99,48,48041100,KRAFT LINER PAPER; 0;,TZ,Tanzania,KE,Kenya,NMA,NMA,665808,0,1456454,665808,0,0,0,0,0,0,0,0
