YEAR,MONTH,ENTRY_NUMBER,VERSION,ITEM_NUM,ENTRYSTATUS,REG_DATE,REGIME,CPC,QUANTITY,FOB_VALUE,CURRENCY,ENTRY_CUSTOM_VALUE,HS_CHAPTER,HSCODE,GOOD_DESCRIPTION,ORIGIN_COUNTRY_CODE,ORIGIN_COUNTRY_NAME,COUNTRY_OF_DESTINATION,COD_NAME,STATION,PLACE_OF_DISCHARGE,TOTAL_TAX_PAYABLE,TOTAL_TAX_PAID,IMPORT_DUTY,IMPORT_VAT,EXCISE,EXPORT_DUTY,IDF,RDL,RML,PRL,MSS,OTHER_TAX
2022,2022-06,22MBAEX302089534,1,1,Settled,19:58.0,EX3,EX312,236.0,62305.0,KES,62305.0,48,48194000,PAPER SACKS; 1; 10; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,21,21,0,0,0,0,0,0,0,0,21,0
2022,2022-06,22EMKIM700887020,1,1,Settled,15:11.0,IM7,IM700,97393.0,10665798.96,USD,12425424.08,48,48042100,UNBLEACHED SACK KRAFT PAPER SUB 80 GSM; 1;,RU,Russian Federation,KE,Kenya,EMK,ICD,20234,20234,3106357,2485085,0,0,0,0,0,0,26015,0
2022,2022-01,22MBAIM400062441,1,1,Pending Removal,27:20.0,IM4,IM400,1049750.0,77268719.56,USD,91023517.15,72,72071100,"NON ALLOY STEEL BILLETS, GRADE :SAE 1008 130MMX130MMX11500MM; 1049750; 0;",RU,Russian Federation,KE,Kenya,MBA,MSA,17354049,0,0,14563763,0,0,1365353,1365353,0,0,59580,0
2022,2022-02,22EMKIM400213006,1,1,Removed,12:55.0,IM4,IM490,251.75,78186.97,USD,83581.6,48,48191000,H; 1X40 CNER PARTCARTONS MADE OUT OF CARDBOARD LAMINATED & PRINTED -25000PCS; 1; 1; 1; 688; ,IN,India,KE,Kenya,EMK,ICD,4651,0,20896,13374,0,0,2926,1672,0,0,53,0
2022,2022-03,22NBOIM402654064,1,1,Removed,08:28.0,IM4,IM490,100.0,623299.76,EUR,632649.26,48,48194000,AIR CATERING SUPPLY(SC/BF/MH SECOND MEAL BAG/WASTE BAG); 590; 1; 0; 100; ,CN,China,KE,Kenya,NBO,ACH,20559,0,23614,15113,0,0,3306,1890,0,0,0,250
2022,2022-03,22EMKIM400421523,1,3,Settled,05:26.0,IM4,IM400,1380.0,3898431.66,USD,4709139.68,48,48115990,100% WOOD PULP PAPER DOUBLE PE COATED WIDTH: 75MM 12OZ BOTTOM; 1; ,CN,China,KE,Kenya,EMK,ICD,91797,164823,27733,48810,0,0,9707,5547,0,0,0,0
2022,2022-03,22MBAEX300974913,1,1,Settled,49:33.0,EX3,EX312,328.0,86341.0,KES,86341.0,48,48194000,PAPER SACKS; 1; 14; ,LK,Sri Lanka,EG,Egypt,MBA,MEX,29,29,0,0,0,0,0,0,0,0,29,0
2022,2022-04,22EMKIM400528371,1,1,Settled,42:25.0,IM4,IM400,989900.0,81886797.94,USD,87916513.78,72,72071100,STEEL BILLETS SIZE 130MMX130MM; 2000000; 0;,ZA,South Africa,KE,Kenya,EMK,ICD,16879611,0,0,14066643,0,0,1318748,1318748,0,0,175472,0
2022,2022-04,22EMKIM400584805,1,1,Settled,21:41.0,IM4,IM400,2450.36,1184500.42,EUR,1742948.17,48,48115990,SH CHOCOLATE TBA 200MID FSC (LIQUID PACKAGING MATERIAL); 0;,DE,Germany,KE,Kenya,EMK,ICD,533778,0,174295,306759,0,0,26145,26145,0,0,434,0
2022,2022-04,22EMKIM400558844,1,2,Settled,29:31.0,IM4,IM400,3336.0,3197846.44,EUR,3456359.58,48,48043900,"ADVANTAGE SMOOTH WHITE STRONG; 120GSM,830MM WIDTH,76MM CORE,1000MM DIAMETER,WIRE SIDE OUT; 1;",CZ,Czech Republic,KE,Kenya,EMK,ICD,166564,608320,50321,88565,0,0,17613,10065,0,0,0,0
